Area Code,Country,State,City
201,United States,New Jersey,Jersey City
203,United States,Connecticut,Waterbury
205,United States,Alabama,Montgomery
206,United States,Washington,Seattle
209,United States,California,Stockton
210,United States,Texas,San Antonio
212,United States,New York,New York
213,United States,California,Los Angeles
214,United States,Texas,Dallas
215,United States,Pennsylvania,Philadelphia
216,United States,Ohio,Cleveland
217,United States,Illinois,Springfield
218,United States,Minnesota,Duluth
219,United States,Indiana,Fort Wayne
225,United States,Louisiana,Baton Rouge
228,United States,Mississippi,Gulfport
229,United States,Georgia,Albany
231,United States,Michigan,Traverse City
234,United States,Ohio,Akron
240,United States,Maryland,Frederick
248,United States,Michigan,Troy
252,United States,North Carolina,Greenville
253,United States,Washington,Tacoma
254,United States,Texas,Waco
256,United States,Alabama,Huntsville
262,United States,Wisconsin,Racine
267,United States,Pennsylvania,Philadelphia
270,United States,Kentucky,Paducah
281,United States,Texas,Houston
301,United States,Maryland,Frederick
303,United States,Colorado,Denver
305,United States,Florida,Miami
308,United States,Nebraska,Scottsbluff
309,United States,Illinois,Moline
310,United States,California,West Los Angeles
312,United States,Illinois,Chicago
313,United States,Michigan,Detroit
314,United States,Missouri,Saint Louis
315,United States,New York,Syracuse
316,United States,Kansas,Wichita
317,United States,Indiana,Indianapolis
318,United States,Louisiana,Shreveport
319,United States,Iowa,Dubuque
320,United States,Minnesota,Saint Cloud
321,United States,Florida,Orlando
323,United States,California,Los Angeles
330,United States,Ohio,Akron
334,United States,Alabama,Birmingham
336,United States,North Carolina,Winston Salem
337,United States,Louisiana,Lafayette
347,United States,New York,Bronx
352,United States,Florida,Gainesville
360,United States,Washington,Olympia
361,United States,Texas,Corpus Christi
385,United States,Utah,Provo
402,United States,Nebraska,Omaha
404,United States,Georgia,Atlanta
405,United States,Oklahoma,Oklahoma City
407,United States,Florida,Orlando
408,United States,California,San Jose
409,United States,Texas,Beaumont
410,United States,Maryland,Baltimore
412,United States,Pennsylvania,Pittsburgh
413,United States,Massachusetts,Springfield
414,United States,Wisconsin,Milwaukee
415,United States,California,San Francisco
417,United States,Missouri,Springfield
419,United States,Ohio,Toledo
423,United States,Tennessee,Chattanooga
425,United States,Washington,Seattle area
435,United States,Utah,Logan
440,United States,Ohio,Ashtabula
443,United States,Maryland,Baltimore
469,United States,Texas,Dallas
478,United States,Georgia,Macon
480,United States,Arizona,eastern Phoenix area
484,United States,Pennsylvania,Allentown
501,United States,Arkansas,Little Rock
502,United States,Kentucky,Louisville
503,United States,Oregon,Portland
504,United States,Louisiana,New Orleans
507,United States,Minnesota,Rochester
508,United States,Massachusetts,Worcester
509,United States,Washington,Spokane
510,United States,California,Oakland
512,United States,Texas,Austin
513,United States,Ohio,Cincinnati
515,United States,Iowa,Des Moines
516,United States,New York,Elmont
517,United States,Michigan,Lansing
518,United States,New York,Albany
520,United States,Arizona,non-Phoenix areas
530,United States,California,Redding
540,United States,Virginia,Roanoke
541,United States,Oregon,Eugene
559,United States,California,Fresno
561,United States,Florida,West Palm Beach
562,United States,California,Long Beach
570,United States,Pennsylvania,Scranton
571,United States,Virginia,Alexandria
573,United States,Missouri,Jefferson City
580,United States,Oklahoma,Enid
601,United States,Mississippi,Jackson
602,United States,Arizona,Phoenix
606,United States,Kentucky,London
607,United States,New York,Elmira
608,United States,Wisconsin,Madison
609,United States,New Jersey,Trenton
610,United States,Pennsylvania,Allentown
612,United States,Minnesota,Minneapolis
614,United States,Ohio,Columbus
615,United States,Tennessee,Nashville
616,United States,Michigan,Kalamazoo
617,United States,Massachusetts,Boston
618,United States,Illinois,Mount Vernon
619,United States,California,San Diego
623,United States,Arizona,western Phoenix area
626,United States,California,Pasadena
630,United States,Illinois,Aurora
631,United States,New York,eastern Long Island
636,United States,Missouri,Union
641,United States,Iowa,Mason City
646,United States,New York,New York
650,United States,California,Palo Alto
651,United States,Minnesota,Saint Paul
660,United States,Missouri,Macon
661,United States,California,Bakersfield
662,United States,Mississippi,Tupelo
678,United States,Georgia,Atlanta
682,United States,Texas,Fort Worth
702,United States,Nevada,Las Vegas
703,United States,Virginia,Alexandria
704,United States,North Carolina,Charlotte
706,United States,Georgia,Athens
707,United States,California,Santa Rosa
708,United States,Illinois,Chicago Heights
710,United States,(All Locations),US Government
712,United States,Iowa,Sioux City
713,United States,Texas,Houston
714,United States,California,Orange
715,United States,Wisconsin,Wausau
716,United States,New York,Buffalo
717,United States,Pennsylvania,Harrisburg
718,United States,New York,Bronx
719,United States,Colorado,Colorado Springs
720,United States,Colorado,Denver
724,United States,Pennsylvania,New Castle
727,United States,Florida,Clearwater
732,United States,New Jersey,Lakewood
734,United States,Michigan,Ann Arbor
740,United States,Ohio,Cambridge
757,United States,Virginia,Norfolk
760,United States,California,Indio
763,United States,Minnesota,Maple Grove
765,United States,Indiana,Lafayette
770,United States,Georgia,Roswell
773,United States,Illinois,Chicago
775,United States,Nevada,Reno
781,United States,Massachusetts,Norwood
785,United States,Kansas,Topeka
786,United States,Florida,Miami
801,United States,Utah,Salt Lake City
803,United States,South Carolina,Columbia
804,United States,Virginia,Richmond
805,United States,California,Thousand Oaks
806,United States,Texas,Amarillo
810,United States,Michigan,Flint
812,United States,Indiana,Terre Haute
813,United States,Florida,Tampa
814,United States,Pennsylvania,Erie
815,United States,Illinois,Rickford
816,United States,Missouri,Kansas City
817,United States,Texas,Fort Worth
818,United States,California,Glendale
828,United States,North Carolina,Asheville
830,United States,Texas,Uvalde
831,United States,California,Salinas
832,United States,Texas,Houston
843,United States,South Carolina,Charleston
845,United States,New York,Poughkeepsie
847,United States,Illinois,Waukegan
850,United States,Florida,Tallahassee
856,United States,New Jersey,Cherry Hill
858,United States,California,Solano Beach
859,United States,Kentucky,Lexington
860,United States,Connecticut,Hartford
863,United States,Florida,Avon Park
864,United States,South Carolina,Greenville
865,United States,Tennessee,Knoxville
870,United States,Arkansas,Jonesboro
901,United States,Tennessee,Memphis
903,United States,Texas,Tyler
904,United States,Florida,Jacksonville
906,United States,Michigan,Sault Ste. Marie
908,United States,New Jersey,Washington
909,United States,California,Pomona
910,United States,North Carolina,Fayetteville
912,United States,Georgia,Waycross
913,United States,Kansas,Kansas City
914,United States,New York,White Plains
915,United States,Texas,El Paso
916,United States,California,Sacramento
917,United States,New York,New York
918,United States,Oklahoma,Tulsa
919,United States,North Carolina,Raleigh
920,United States,Wisconsin,Green Bay
925,United States,California,Concord
931,United States,Tennessee,Columbia
936,United States,Texas,Huntsville
937,United States,Ohio,Dayton
940,United States,Texas,Vernon
941,United States,Florida,Naples
949,United States,California,Irvine
952,United States,Minnesota,Bloomington
954,United States,Florida,Fort Lauderdale
956,United States,Texas,Mcallen
970,United States,Colorado,Grand Junction
971,United States,Oregon,Portland
972,United States,Texas,Dallas
973,United States,New Jersey,Paterson
978,United States,Massachusetts,Peabody
979,United States,Texas,Wharton
